Name	SMILES
MDCPM	CC(Cc1ccc2c(c1)OCO2)NCC1CC1
MDDM	CN(C(Cc1ccc2c(c1)OCO2)C)C
MDE	CCNC(Cc1ccc2c(c1)OCO2)C
MDHOET	OCCNC(Cc1ccc2c(c1)OCO2)C
MDIP	CC(NC(Cc1ccc2c(c1)OCO2)C)C
MDMA	CNC(Cc1ccc2c(c1)OCO2)C
MDMC	CNC(Cc1ccc2c(c1)OCCO2)C
MDMEO	CONC(Cc1ccc2c(c1)OCO2)C
MDMEOET	COCCNC(Cc1ccc2c(c1)OCO2)C
MDMP	CNC(Cc1ccc2c(c1)OCO2)(C)C
MDOH	ONC(Cc1ccc2c(c1)OCO2)C
MDPEA	NCCc1ccc2c(c1)OCO2
MDPH	CC(Cc1ccc2c(c1)OCO2)(N)C
MDPL	C#CCNC(Cc1ccc2c(c1)OCO2)C
MDPR	CCCNC(Cc1ccc2c(c1)OCO2)C
ME	NCCc1cc(OCC)c(c(c1)OC)OC
MEDA	COc1cc(CC(N)C)cc2c1OCCO2
MEE	CCOc1cc(CC(N)C)c(cc1OCC)OC
MEM	CCOc1cc(OC)c(cc1OC)CC(N)C
MEPEA	NCCc1ccc(c(c1)OC)OCC
META-DOB	COc1cc(OC)c(cc1CC(N)C)Br
META-DOT	COc1cc(OC)c(cc1CC(N)C)SC
METHYL-DMA	CNC(Cc1cc(OC)ccc1OC)C
METHYL-DOB	CNC(Cc1cc(OC)c(cc1OC)Br)C
METHYL-J	CCC(Cc1ccc2c(c1)OCO2)NC
METHYL-K	CCCC(Cc1ccc2c(c1)OCO2)NC
METHYL-MA	CNC(Cc1ccc(cc1)OC)C
METHYL-MMDA-2	CNC(Cc1cc2OCOc2cc1OC)C
MMDA	COc1cc(CC(N)C)cc2c1OCO2
MMDA-2	COc1cc2OCOc2cc1CC(N)C
MMDA-3a	COc1c(ccc2c1OCO2)CC(N)C
MMDA-3b	COc1ccc(c2c1OCO2)CC(N)C
MME	CCOc1cc(CC(N)C)c(cc1OC)OC
MP	CCCOc1cc(CCN)cc(c1OC)OC
MPM	CCCOc1cc(OC)c(cc1OC)CC(N)C
ORTHO-DOT	COc1cc(CC(N)C)c(cc1OC)SC
P	CCCOc1c(OC)cc(cc1OC)CCN
PE	NCCc1cc(OC)c(c(c1)OC)OCCc1ccccc1
